广州市	products	1486.05
韶关市	products	28.55
深圳市	products	3266.52
珠海市	products	465.07
汕头市	products	147.73
佛山市	products	930.49
江门市	products	251.23
湛江市	products	75.66
茂名市	products	25.37
肇庆市	products	70.06
惠州市	products	525.67
梅州市	products	18.09
汕尾市	products	26.21
河源市	products	2.41
阳江市	products	29.52
清远市	products	18.93
东莞市	products	679.87
中山市	products	414.64
潮州市	products	40.98
揭阳市	products	26.34
云浮市	products	18.77
广州市	adds	478.55
韶关市	adds	7.56
深圳市	adds	940.86
珠海市	adds	74.6
汕头市	adds	43.8
佛山市	adds	191.99
江门市	adds	52.86
湛江市	adds	21.38
茂名市	adds	10.37
肇庆市	adds	16.9
惠州市	adds	109.43
梅州市	adds	4.72
汕尾市	adds	7.66
河源市	adds	0.68
阳江市	adds	8.78
清远市	adds	3.08
东莞市	adds	128.34
中山市	adds	77.25
潮州市	adds	8.21
揭阳市	adds	6.88
云浮市	adds	5.85
广州市	promotes	1454.67
韶关市	promotes	27.75
深圳市	promotes	3120.18
珠海市	promotes	447.08
汕头市	promotes	140.01
佛山市	promotes	891.08
江门市	promotes	235.79
湛江市	promotes	72.7
茂名市	promotes	23.26
肇庆市	promotes	65.64
惠州市	promotes	495.99
梅州市	promotes	16.97
汕尾市	promotes	25.79
河源市	promotes	2.17
阳江市	promotes	26.52
清远市	promotes	18.34
东莞市	promotes	673.82
中山市	promotes	390.16
潮州市	promotes	40.19
揭阳市	promotes	25.05
云浮市	promotes	16.08
广州市	exports	31.75
韶关市	exports	0.77
深圳市	exports	350.6
珠海市	exports	37.74
汕头市	exports	5.39
佛山市	exports	45.63
江门市	exports	6.9
湛江市	exports	1.34
茂名市	exports	0.1
肇庆市	exports	3.17
惠州市	exports	40.52
梅州市	exports	0.26
汕尾市	exports	1.44
河源市	exports	0.01
阳江市	exports	0.51
清远市	exports	1.02
东莞市	exports	51.2
中山市	exports	25.87
潮州市	exports	1.94
揭阳市	exports	0.41
云浮市	exports	0.64
